StateAbbr,StateDesc,CountyName,CountyFIPS,Geolocation,TotalPopulation,TotalPop18plus,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI
IA,Iowa,Chickasaw,19037,POINT (-92.3176408168561 43.0600924885266),11716,9018,31.2,"(25.3, 37.9)",32.8,"(26.7, 39.6)"
NY,New York,Seneca,36099,POINT (-76.8234304711163 42.7807211049499),32882,26182,36.1,"(31.4, 41.1)",37.3,"(32.5, 42.4)"
MN,Minnesota,Faribault,27043,POINT (-93.9479319612746 43.6739185141946),13926,10880,29.4,"(23.4, 35.9)",30.6,"(24.4, 37.3)"
NE,Nebraska,Nance,31125,POINT (-97.9923626121675 41.3973669035393),3326,2543,31.4,"(25.2, 38.4)",32.7,"(26.4, 39.9)"
OH,Ohio,Mahoning,39099,POINT (-80.7763089335898 41.014638072438),225636,180235,40.9,"(36.4, 45.6)",42.7,"(38.2, 47.5)"
MS,Mississippi,Chickasaw,28017,POINT (-88.9478680906015 33.9208230759646),16812,12664,39.9,"(33.0, 47.1)",41.0,"(34.0, 48.3)"
IL,Illinois,Hamilton,17065,POINT (-88.5390680927951 38.0815781203156),7984,6181,35.7,"(28.6, 43.4)",37.5,"(30.2, 45.2)"
TX,Texas,Goliad,48175,POINT (-97.4261528642449 28.6572997486097),7131,5683,36.7,"(29.2, 44.3)",38.3,"(30.6, 46.0)"
KY,Kentucky,Daviess,21059,POINT (-87.0877123565695 37.731853475357),103222,78377,37.6,"(31.9, 43.8)",38.6,"(32.8, 44.9)"
MS,Mississippi,Sunflower,28133,POINT (-90.5886871287806 33.6022446844639),24811,19533,41.9,"(35.5, 48.5)",42.3,"(35.9, 49.0)"
FL,Florida,Monroe,12087,POINT (-81.1205705411756 25.2728942193616),81708,69005,34.0,"(28.7, 39.8)",35.4,"(30.0, 41.2)"
TX,Texas,Tarrant,48439,POINT (-97.2911054620017 32.7719331621137),2154595,1611487,39.5,"(35.8, 43.5)",39.5,"(35.8, 43.4)"
MN,Minnesota,Norman,27107,POINT (-96.4554730867118 47.3264531891278),6377,4876,31.0,"(25.1, 37.7)",33.1,"(26.9, 40.0)"
AR,Arkansas,Grant,5053,POINT (-92.4234453390766 34.290047947646),18160,14212,38.1,"(31.5, 45.0)",39.3,"(32.5, 46.2)"
VA,Virginia,Patrick,51141,POINT (-80.2846884935107 36.6784090926801),17643,14571,36.2,"(29.5, 43.4)",38.1,"(31.3, 45.6)"
NM,New Mexico,Santa Fe,35049,POINT (-105.976252740807 35.506900601719),155664,130494,29.1,"(25.0, 33.4)",30.6,"(26.4, 35.1)"
ME,Maine,Sagadahoc,23023,POINT (-69.8536441032231 43.9590164573634),37393,30775,29.3,"(25.4, 33.6)",30.8,"(26.7, 35.2)"
LA,Louisiana,Tensas,22107,POINT (-91.3398743027027 32.0009034949544),3846,3034,43.9,"(36.3, 52.1)",46.7,"(38.9, 54.9)"
PA,Pennsylvania,Perry,42099,POINT (-77.2622712474235 40.3984083146619),46114,36580,36.9,"(30.1, 44.2)",38.1,"(31.2, 45.5)"
PA,Pennsylvania,Venango,42121,POINT (-79.7581868804174 41.4006288227586),49777,40467,37.3,"(30.3, 44.5)",38.8,"(31.7, 46.2)"
WI,Wisconsin,Brown,55009,POINT (-88.003761568209 44.4524309489072),270036,208764,30.7,"(26.6, 35.1)",31.5,"(27.4, 35.9)"
IN,Indiana,Perry,18123,POINT (-86.6381199530206 38.079509981274),19183,15259,34.8,"(28.1, 41.5)",35.8,"(29.1, 42.6)"
ND,North Dakota,Billings,38007,POINT (-103.376280247204 47.0236619758294),1018,808,30.2,"(23.9, 37.1)",31.9,"(25.4, 39.1)"
SC,South Carolina,Greenwood,45047,POINT (-82.1260689800586 34.1538899560059),69267,53874,39.4,"(34.3, 45.0)",40.8,"(35.6, 46.4)"
AZ,Arizona,Graham,4009,POINT (-109.887402691851 32.9327553402921),38779,28375,37.0,"(30.6, 43.6)",37.6,"(31.2, 44.2)"
SC,South Carolina,Edgefield,45037,POINT (-81.9660838206547 33.772095052778),26932,22448,38.0,"(32.4, 43.8)",39.1,"(33.3, 44.9)"
WV,West Virginia,Hancock,54029,POINT (-80.5738950092347 40.5218655920266),28172,23036,38.4,"(32.1, 44.8)",39.8,"(33.4, 46.3)"
OH,Ohio,Pickaway,39129,POINT (-83.0242544082613 39.6418488739589),60023,47111,41.1,"(34.7, 47.6)",41.8,"(35.4, 48.4)"
OH,Ohio,Wood,39173,POINT (-83.622978870736 41.361689646332),131592,105161,36.0,"(31.4, 41.0)",37.1,"(32.4, 42.1)"
MS,Mississippi,Noxubee,28103,POINT (-88.5698353745843 33.1100147781248),9990,7455,42.1,"(34.9, 49.5)",43.4,"(36.1, 50.8)"
ND,North Dakota,Rolette,38079,POINT (-99.8409780101314 48.7724504206484),11933,7972,39.9,"(33.4, 46.5)",40.6,"(34.0, 47.2)"
MT,Montana,Park,30067,POINT (-110.52629655656 45.4881773935607),17790,14827,29.2,"(24.1, 34.6)",30.2,"(25.0, 35.7)"
TX,Texas,Zavala,48507,POINT (-99.7607080145208 28.8660567049195),9377,6644,41.5,"(34.0, 49.4)",42.3,"(34.7, 50.1)"
OH,Ohio,Geauga,39055,POINT (-81.1785666230898 41.4995505355057),95469,74460,33.9,"(28.4, 39.9)",35.5,"(29.8, 41.6)"
NH,New Hampshire,Carroll,33003,POINT (-71.2030777502208 43.8738665247946),52199,44606,33.3,"(28.7, 38.0)",35.4,"(30.7, 40.2)"
PA,Pennsylvania,Clinton,42035,POINT (-77.6387449615827 41.234143444052),37931,30401,41.0,"(34.1, 48.4)",42.9,"(36.0, 50.5)"
GA,Georgia,Long,13183,POINT (-81.745381491443 31.7522994598883),18348,13302,41.3,"(34.3, 48.4)",40.9,"(34.0, 48.0)"
MO,Missouri,Oregon,29149,POINT (-91.4032773357883 36.6867003170786),8732,6712,37.1,"(29.9, 44.3)",39.1,"(31.6, 46.5)"
KY,Kentucky,Trigg,21221,POINT (-87.8732998555619 36.8063370344073),14332,11236,40.0,"(32.8, 47.2)",41.4,"(34.2, 48.7)"
FL,Florida,Hernando,12053,POINT (-82.4254406235528 28.5539797457162),206896,168742,36.3,"(30.9, 41.8)",38.1,"(32.5, 43.7)"
NE,Nebraska,Richardson,31147,POINT (-95.7176760902879 40.1249750439117),7705,6023,29.6,"(24.3, 35.4)",31.3,"(25.8, 37.3)"
SD,South Dakota,Minnehaha,46099,POINT (-96.791470048829 43.6741571506483),203971,152690,28.1,"(24.5, 31.9)",28.2,"(24.6, 32.0)"
VA,Virginia,Lunenburg,51111,POINT (-78.2404882289963 36.9458951476308),12031,9648,40.2,"(33.3, 47.4)",41.5,"(34.6, 48.7)"
MI,Michigan,Antrim,26009,POINT (-85.1404720041255 44.9989840363288),24249,20203,30.4,"(24.1, 37.0)",32.2,"(25.7, 38.9)"
IA,Iowa,Lee,19111,POINT (-91.4794958363333 40.6422524192372),32840,25904,35.3,"(29.5, 41.5)",36.5,"(30.6, 42.8)"
KS,Kansas,Decatur,20039,POINT (-100.4593927499 39.7846903901936),2689,2150,31.9,"(25.5, 39.3)",34.5,"(27.7, 42.1)"
VA,Virginia,Chesapeake,51550,POINT (-76.3021998784009 36.6777699805544),252488,192359,39.4,"(34.8, 44.2)",39.8,"(35.1, 44.6)"
FL,Florida,Columbia,12023,POINT (-82.6216338263004 30.2248618580445),71908,56211,38.0,"(32.8, 43.2)",39.3,"(34.1, 44.6)"
IL,Illinois,Grundy,17063,POINT (-88.418506343176 41.2852896366779),53041,40320,34.1,"(27.4, 41.2)",34.6,"(27.8, 41.7)"
KY,Kentucky,Franklin,21073,POINT (-84.8771189162513 38.2393138397685),51607,40857,40.0,"(33.0, 47.3)",41.1,"(34.0, 48.4)"
CO,Colorado,Baca,8009,POINT (-102.560198091618 37.3193048719218),3432,2657,33.8,"(27.1, 41.1)",36.0,"(29.1, 43.5)"
TN,Tennessee,Hancock,47067,POINT (-83.2225554028535 36.5234522153705),6845,5399,41.1,"(33.8, 48.9)",42.7,"(35.1, 50.5)"
NC,North Carolina,Bertie,37015,POINT (-76.9765261847155 36.066157443707),17240,14342,42.0,"(34.8, 49.5)",43.8,"(36.5, 51.3)"
KS,Kansas,Barber,20007,POINT (-98.6848141558495 37.2289283040021),4122,3151,32.4,"(26.1, 38.9)",34.6,"(28.1, 41.4)"
NY,New York,Columbia,36021,POINT (-73.6319367338711 42.2500183961169),61286,51741,34.3,"(28.2, 40.6)",36.5,"(30.2, 43.1)"
MI,Michigan,Wexford,26165,POINT (-85.5785690119737 44.3383613375827),34196,26501,32.8,"(26.3, 39.5)",34.1,"(27.4, 40.9)"
UT,Utah,Garfield,49017,POINT (-111.443307900102 37.854674848731),5281,4115,34.8,"(28.4, 42.3)",36.8,"(30.2, 44.5)"
TX,Texas,El Paso,48141,POINT (-106.234769971665 31.7686659871114),868763,643886,37.6,"(33.3, 42.0)",37.9,"(33.6, 42.3)"
GA,Georgia,Talbot,13263,POINT (-84.5331196585988 32.6992774965399),5747,4810,40.0,"(32.8, 47.6)",42.5,"(35.0, 50.1)"
NY,New York,Hamilton,36041,POINT (-74.4973655679885 43.6612213303403),5118,4482,35.3,"(28.2, 42.8)",37.7,"(30.4, 45.3)"
TN,Tennessee,Polk,47139,POINT (-84.5231146561792 35.1199362720267),17863,14478,39.3,"(31.9, 46.4)",40.3,"(32.9, 47.6)"
SD,South Dakota,Walworth,46129,POINT (-100.031148111061 45.4299153339623),5265,4035,29.2,"(22.9, 36.0)",31.0,"(24.5, 38.0)"
TN,Tennessee,Lewis,47101,POINT (-87.4934669216043 35.5273554402834),12957,10117,38.3,"(31.2, 45.5)",39.6,"(32.4, 46.8)"
KY,Kentucky,Muhlenberg,21177,POINT (-87.1424422137132 37.2157493105345),30455,24197,41.6,"(34.6, 48.7)",42.9,"(35.8, 50.1)"
KS,Kansas,Pawnee,20145,POINT (-99.2368292701345 38.1811561054533),6179,5292,34.9,"(28.8, 41.8)",36.3,"(30.1, 43.3)"
NC,North Carolina,Vance,37181,POINT (-78.4079704512629 36.3651057008362),42138,32110,39.7,"(33.0, 46.6)",41.0,"(34.2, 48.0)"
GA,Georgia,Jeff Davis,13161,POINT (-82.6366953093619 31.8060289030775),14889,11117,36.6,"(29.9, 44.0)",37.3,"(30.6, 44.8)"
TX,Texas,Castro,48069,POINT (-102.261693793651 34.5300508535073),7298,5188,38.3,"(30.8, 45.9)",39.5,"(31.9, 47.2)"
CA,California,Solano,6095,POINT (-121.932781028652 38.2699375647315),448747,351591,37.3,"(31.7, 43.2)",38.1,"(32.5, 44.0)"
TX,Texas,Brazoria,48039,POINT (-95.4512838215283 29.1895857693754),388181,289273,42.1,"(38.0, 46.5)",42.1,"(37.9, 46.4)"
KS,Kansas,Leavenworth,20103,POINT (-95.0382345190297 39.1999862996613),82892,63408,37.1,"(32.4, 42.0)",37.3,"(32.7, 42.3)"
AL,Alabama,Autauga,1001,POINT (-86.6428164158396 32.5350016195151),59759,45878,37.3,"(31.1, 44.0)",37.7,"(31.5, 44.4)"
ME,Maine,Androscoggin,23001,POINT (-70.2067586997966 44.1654739027752),113023,89923,36.7,"(32.5, 40.9)",37.8,"(33.6, 42.1)"
SC,South Carolina,Clarendon,45027,POINT (-80.2164297187346 33.6659775926252),30913,25332,36.3,"(30.4, 42.7)",38.1,"(32.0, 44.6)"
IN,Indiana,Tippecanoe,18157,POINT (-86.8940552546538 40.3886239103306),188717,151016,35.3,"(30.2, 40.1)",37.6,"(32.4, 42.5)"
ID,Idaho,Bannock,16005,POINT (-112.224464654126 42.6685980174801),89517,67138,36.3,"(31.4, 41.3)",36.9,"(32.0, 42.0)"
IL,Illinois,Moultrie,17139,POINT (-88.6189863239145 39.6419524353702),14323,10786,34.7,"(27.6, 42.2)",36.2,"(28.9, 43.8)"
NM,New Mexico,Rio Arriba,35039,POINT (-106.692981140881 36.5094888401674),40048,31087,34.7,"(28.6, 41.1)",36.0,"(29.8, 42.5)"
MI,Michigan,Oakland,26125,POINT (-83.3857850852382 42.6603841794277),1269431,1015540,31.1,"(28.0, 34.2)",32.1,"(29.0, 35.2)"
NC,North Carolina,New Hanover,37129,POINT (-77.8842723951621 34.2328162979962),234921,194120,30.9,"(26.0, 36.5)",32.1,"(27.0, 37.9)"
NC,North Carolina,Martin,37117,POINT (-77.1093472458262 35.8432221253514),21508,17181,37.1,"(30.0, 44.4)",38.9,"(31.6, 46.3)"
AK,Alaska,Northwest Arctic,2188,POINT (-159.722233405755 67.0527933404638),7423,4634,43.0,"(35.6, 50.5)",42.7,"(35.4, 50.2)"
MO,Missouri,Mercer,29129,POINT (-93.5684789350163 40.4224304026288),3437,2615,36.9,"(29.8, 44.1)",38.7,"(31.4, 46.0)"
PA,Pennsylvania,Lackawanna,42069,POINT (-75.6092611042511 41.4363694881254),215615,171812,40.0,"(33.5, 47.0)",41.4,"(34.8, 48.4)"
MO,Missouri,Montgomery,29139,POINT (-91.4702914684888 38.9413373254871),11470,8979,38.4,"(30.9, 45.8)",39.7,"(32.1, 47.2)"
KY,Kentucky,Wayne,21231,POINT (-84.8283531236799 36.8008845409014),19681,15707,41.1,"(33.6, 48.5)",42.4,"(34.8, 49.9)"
NE,Nebraska,Franklin,31061,POINT (-98.952831971485 40.1763829630923),2873,2264,31.2,"(25.0, 37.7)",33.8,"(27.2, 40.6)"
GA,Georgia,Lumpkin,13187,POINT (-84.0028613994945 34.5724830927062),34796,28940,35.0,"(28.6, 42.1)",36.7,"(30.1, 43.9)"
FL,Florida,Jackson,12063,POINT (-85.2152870715759 30.7953060542353),48211,39234,40.4,"(35.2, 45.8)",41.7,"(36.4, 47.1)"
PA,Pennsylvania,Bedford,42009,POINT (-78.4903536318211 40.0066622728169),47418,38295,37.8,"(30.9, 46.0)",39.8,"(32.7, 48.1)"
SC,South Carolina,York,45091,POINT (-81.1845207722132 34.9748106049519),294248,225591,33.9,"(30.2, 37.7)",34.3,"(30.5, 38.2)"
NY,New York,Livingston,36051,POINT (-77.7746715447795 42.7287229293671),61516,50735,35.0,"(28.8, 41.5)",36.4,"(30.1, 42.9)"
MD,Maryland,Carroll,24013,POINT (-77.0227635353375 39.5629025323817),175305,137271,34.5,"(30.0, 39.3)",35.1,"(30.5, 39.9)"
AR,Arkansas,Prairie,5117,POINT (-91.5527724228457 34.8296805541547),8069,6413,39.0,"(31.7, 46.3)",41.1,"(33.6, 48.5)"
OH,Ohio,Hardin,39065,POINT (-83.6594148955231 40.6616220714596),30416,23363,40.3,"(34.1, 46.9)",41.7,"(35.4, 48.3)"
NV,Nevada,Clark,32003,POINT (-115.01439860617 36.2150650480518),2322985,1807784,40.9,"(36.3, 45.5)",41.4,"(36.8, 46.0)"
GA,Georgia,Camden,13039,POINT (-81.6704234596136 30.9304833205109),57013,43344,37.4,"(31.2, 44.0)",38.2,"(31.9, 44.8)"
KS,Kansas,Seward,20175,POINT (-100.850630864337 37.1933271863834),21358,14775,39.3,"(32.6, 46.4)",39.7,"(33.0, 46.8)"
MD,Maryland,Queen Anne's,24035,POINT (-76.0240862590696 39.0662241668469),51711,41070,33.2,"(28.8, 37.7)",34.6,"(30.1, 39.3)"
GA,Georgia,Terrell,13273,POINT (-84.4366722312933 31.7770572781924),8754,6837,44.0,"(36.6, 51.5)",45.5,"(38.1, 53.1)"
LA,Louisiana,St. Bernard,22087,POINT (-89.5378053124974 29.8750828954315),44479,33127,40.9,"(34.0, 47.9)",40.9,"(34.1, 47.9)"
PA,Pennsylvania,Wayne,42127,POINT (-75.3033288891875 41.6486390281983),51173,42711,38.8,"(31.7, 46.4)",40.7,"(33.4, 48.5)"
AR,Arkansas,Benton,5007,POINT (-94.2558310001198 36.3389781548829),302863,226571,33.9,"(29.5, 38.5)",34.0,"(29.7, 38.7)"
TN,Tennessee,Sumner,47165,POINT (-86.4607991890573 36.4689167276957),203858,157560,36.9,"(30.8, 43.6)",37.5,"(31.4, 44.3)"
ID,Idaho,Lemhi,16059,POINT (-113.933478496525 44.9434584985958),8240,6785,31.4,"(25.3, 37.7)",34.0,"(27.6, 40.6)"
WA,Washington,Lincoln,53043,POINT (-118.418646673561 47.5762886822607),11601,9113,31.5,"(26.8, 36.2)",33.3,"(28.4, 38.2)"
IN,Indiana,Porter,18127,POINT (-87.0674513182353 41.4608374022855),174791,137854,37.0,"(32.1, 42.1)",38.1,"(33.0, 43.2)"
WI,Wisconsin,Green Lake,55047,POINT (-89.044669731292 43.800497781151),19220,15156,33.6,"(27.2, 40.6)",35.0,"(28.5, 42.2)"
NC,North Carolina,Edgecombe,37065,POINT (-77.5971756410996 35.913040080039),48301,37386,36.9,"(30.1, 43.8)",38.4,"(31.6, 45.5)"
KY,Kentucky,Boyle,21021,POINT (-84.8671221941253 37.623981243286),30904,24603,38.4,"(31.5, 46.0)",39.8,"(32.8, 47.5)"
OR,Oregon,Baker,41001,POINT (-117.675629967357 44.7090935179354),16938,13606,31.3,"(25.3, 37.9)",33.1,"(26.8, 39.9)"
OH,Ohio,Scioto,39145,POINT (-82.9932730384393 38.80401792582),72194,56645,43.0,"(38.1, 47.9)",44.4,"(39.4, 49.4)"
VA,Virginia,Norfolk,51710,POINT (-76.2594956953889 36.8946370439568),232995,186236,41.1,"(36.6, 45.9)",41.7,"(37.2, 46.4)"
MO,Missouri,Webster,29225,POINT (-92.8757618781185 37.2809123581798),40335,29188,37.3,"(30.5, 44.4)",37.8,"(31.0, 44.9)"
MS,Mississippi,Attala,28007,POINT (-89.5811695102407 33.0864929422051),17509,13130,39.1,"(32.5, 45.8)",40.4,"(33.6, 47.2)"
OH,Ohio,Muskingum,39119,POINT (-81.9443705638671 39.9654979109366),86113,66796,40.6,"(35.8, 45.1)",41.7,"(36.9, 46.3)"
IL,Illinois,Shelby,17173,POINT (-88.8051969036463 39.3913669667087),20761,16391,34.8,"(27.5, 42.3)",36.9,"(29.4, 44.6)"
IN,Indiana,Hendricks,18063,POINT (-86.5099930674506 39.7695155217637),182534,138456,38.4,"(33.3, 43.6)",38.7,"(33.7, 43.9)"
MI,Michigan,Monroe,26115,POINT (-83.5380446708107 41.9282711920747),155609,123308,35.8,"(30.8, 41.0)",36.8,"(31.8, 42.0)"
NY,New York,Sullivan,36105,POINT (-74.768159722024 41.7164759306136),79658,62961,40.3,"(33.6, 47.2)",41.2,"(34.5, 48.1)"
CA,California,Placer,6061,POINT (-120.717993200586 39.0633030825061),417772,327593,32.1,"(26.8, 37.6)",33.0,"(27.7, 38.7)"
CO,Colorado,Kiowa,8061,POINT (-102.739222013974 38.4325941497591),1424,1086,31.0,"(27.9, 34.1)",33.2,"(30.0, 36.4)"
OR,Oregon,Linn,41043,POINT (-122.534067367837 44.488641905537),130467,102022,33.9,"(28.5, 39.6)",35.0,"(29.6, 40.8)"
TX,Texas,Hansford,48195,POINT (-101.354568947694 36.2774356712956),5151,3678,35.5,"(32.1, 38.9)",36.5,"(33.0, 39.9)"
KY,Kentucky,McCreary,21147,POINT (-84.4842553993993 36.7369269014208),16701,13098,45.0,"(37.9, 52.4)",45.4,"(38.2, 52.7)"
VT,Vermont,Addison,50001,POINT (-73.1408412196056 44.0309582617477),37578,31632,27.6,"(24.0, 31.6)",29.4,"(25.7, 33.6)"
MO,Missouri,Gentry,29075,POINT (-94.4095546973503 40.2120580967131),6253,4604,38.1,"(31.2, 45.3)",39.2,"(32.2, 46.5)"
TX,Texas,Jackson,48239,POINT (-96.5776341634458 28.9540204387149),15142,11301,38.7,"(31.6, 46.5)",40.0,"(32.8, 47.8)"
TN,Tennessee,Obion,47131,POINT (-89.1484178194834 36.3583587008047),30394,23843,40.8,"(33.5, 48.3)",42.4,"(35.0, 50.0)"
SD,South Dakota,Day,46037,POINT (-97.6073587322038 45.3672131291144),5479,4270,28.7,"(22.9, 34.8)",30.7,"(24.7, 37.1)"
SD,South Dakota,Hughes,46065,POINT (-99.9956226808318 44.3890109551014),17692,13360,27.3,"(21.8, 33.6)",28.0,"(22.5, 34.5)"
VA,Virginia,Surry,51181,POINT (-76.9003293423803 37.1097289429147),6527,5431,37.9,"(31.0, 45.0)",39.4,"(32.4, 46.6)"
OH,Ohio,Cuyahoga,39035,POINT (-81.658627773816 41.4243019834267),1236041,985264,37.7,"(34.4, 41.0)",39.1,"(35.8, 42.5)"
MS,Mississippi,Lee,28081,POINT (-88.6803890983401 34.2898902056682),82959,62379,35.5,"(30.0, 41.5)",36.1,"(30.5, 42.1)"
TX,Texas,Young,48503,POINT (-98.6877013136536 33.1763786194871),17962,13726,37.8,"(30.9, 45.7)",39.2,"(32.1, 47.1)"
NM,New Mexico,Harding,35021,POINT (-103.81995879697 35.857671856338),628,544,31.2,"(24.7, 38.4)",34.8,"(28.0, 42.6)"
TX,Texas,King,48269,POINT (-100.255805654489 33.6164384711197),233,171,39.1,"(35.0, 43.4)",40.4,"(36.2, 44.7)"
MT,Montana,Golden Valley,30037,POINT (-109.175211549866 46.3812633183309),835,689,31.9,"(25.0, 39.1)",34.1,"(27.1, 41.6)"
KS,Kansas,Wyandotte,20209,POINT (-94.7650051303517 39.1147931194662),165746,121182,37.2,"(33.4, 40.9)",37.4,"(33.6, 41.1)"
TX,Texas,Angelina,48005,POINT (-94.6116992392933 31.2547198881231),87101,65125,41.6,"(37.4, 45.8)",42.6,"(38.3, 46.9)"
WV,West Virginia,Tucker,54093,POINT (-79.5658010101617 39.1135842932892),6568,5685,37.2,"(30.4, 44.4)",38.8,"(31.8, 46.1)"
VA,Virginia,Williamsburg,51830,POINT (-76.7076124024334 37.2692766406108),15909,14152,35.3,"(28.5, 42.5)",38.2,"(31.1, 45.5)"
TX,Texas,Duval,48131,POINT (-98.5089333372538 27.6813479552338),9888,7411,40.0,"(32.1, 48.2)",41.3,"(33.3, 49.5)"
MN,Minnesota,Wright,27171,POINT (-93.9630860406499 45.1740837983303),148003,108139,31.3,"(27.0, 35.9)",31.3,"(27.0, 35.9)"
MS,Mississippi,George,28039,POINT (-88.6441634400411 30.862637172487),25206,18519,34.3,"(27.8, 41.7)",34.6,"(28.1, 42.1)"
CO,Colorado,Yuma,8125,POINT (-102.424564854412 40.0028209513012),9899,7177,32.3,"(26.1, 39.0)",33.4,"(27.1, 40.2)"
VA,Virginia,Roanoke,51770,POINT (-79.9590934003992 37.2785531189904),97847,76048,40.2,"(34.7, 45.8)",41.1,"(35.5, 46.7)"
MO,Missouri,Pulaski,29169,POINT (-92.2076725320903 37.8246506981251),53941,42173,42.7,"(36.0, 49.8)",42.6,"(35.9, 49.7)"
NC,North Carolina,Hyde,37095,POINT (-76.246508754071 35.5192667562167),4576,3862,36.7,"(29.4, 44.3)",38.0,"(30.6, 45.7)"
PA,Pennsylvania,Armstrong,42005,POINT (-79.4647906785908 40.8120603114913),64747,52537,36.6,"(29.8, 43.7)",38.3,"(31.3, 45.5)"
WI,Wisconsin,Portage,55097,POINT (-89.5014634259803 44.476069468424),70718,57657,33.5,"(28.3, 38.9)",34.7,"(29.3, 40.1)"
IN,Indiana,Kosciusko,18085,POINT (-85.8607456885205 41.2441073982605),80826,62080,34.2,"(28.6, 40.3)",35.5,"(29.8, 41.6)"
KY,Kentucky,Marshall,21157,POINT (-88.3291758441086 36.8833337985024),31777,25456,36.0,"(29.3, 43.5)",37.6,"(30.7, 45.1)"
TX,Texas,Limestone,48293,POINT (-96.5807056451504 31.5455242712717),22253,17326,39.5,"(32.3, 46.9)",40.9,"(33.6, 48.4)"
MO,Missouri,McDonald,29119,POINT (-94.3482788212234 36.6287006346982),23588,17681,40.8,"(33.5, 48.3)",41.5,"(34.2, 49.0)"
TX,Texas,Lubbock,48303,POINT (-101.820518052289 33.6101840470101),317561,243269,34.5,"(30.4, 38.7)",35.9,"(31.7, 40.1)"
ND,North Dakota,LaMoure,38045,POINT (-98.5353641660594 46.4568593866168),4098,3226,29.8,"(23.7, 36.6)",31.6,"(25.2, 38.5)"
AL,Alabama,Bullock,1011,POINT (-85.7157596722874 32.1005731304216),10202,8049,49.8,"(42.1, 57.5)",50.5,"(42.8, 58.2)"
NE,Nebraska,Red Willow,31145,POINT (-100.477329716049 40.1756372724134),10573,8205,30.5,"(25.2, 36.6)",32.1,"(26.7, 38.5)"
WI,Wisconsin,Sheboygan,55117,POINT (-87.9453315851594 43.7212481954764),117841,92837,31.8,"(27.0, 37.0)",32.6,"(27.7, 37.8)"
IA,Iowa,Shelby,19165,POINT (-95.310088943124 41.6851018395571),11645,9029,30.6,"(24.5, 37.3)",32.1,"(25.7, 38.8)"
WV,West Virginia,Jefferson,54037,POINT (-77.8631657527537 39.3075892215768),58979,46619,36.7,"(30.9, 42.4)",37.4,"(31.4, 43.1)"
MD,Maryland,Garrett,24023,POINT (-79.2728437491571 39.528754928503),28579,23551,36.7,"(31.6, 41.9)",38.2,"(32.9, 43.4)"
GA,Georgia,Gilmer,13123,POINT (-84.4556815629544 34.6911623019377),32407,26512,33.1,"(27.2, 39.5)",34.6,"(28.5, 41.1)"
AR,Arkansas,Chicot,5017,POINT (-91.2933505574654 33.2667470395332),9873,7738,46.1,"(38.8, 53.6)",47.6,"(40.3, 55.1)"
OH,Ohio,Miami,39109,POINT (-84.2289753159029 40.0535853378213),110247,85193,36.6,"(30.5, 43.0)",37.5,"(31.4, 44.1)"
